Date,frbsf_sentiment,epu_index,epu_overall,epu_monetary,epu_fiscal,epu_taxes,epu_govt_spending,epu_healthcare,epu_national_security,epu_entitlement,epu_regulation,epu_financial_reg,epu_trade,epu_sovereign_debt
2010-07-12,-0.11,168.52285714285713,156.1082106,159.494038,185.6708357,192.7396405,188.5029136,282.5406377,97.2239337,290.6300962,281.4305707,551.3171045,53.77631311,363.7122258
2010-07-19,,212.1457142857143,156.1082106,159.494038,185.6708357,192.7396405,188.5029136,282.5406377,97.2239337,290.6300962,281.4305707,551.3171045,53.77631311,363.7122258
2010-07-26,0.08,169.04142857142855,156.1082106,159.494038,185.6708357,192.7396405,188.5029136,282.5406377,97.2239337,290.6300962,281.4305707,551.3171045,53.77631311,363.7122258
2010-08-02,-0.13571428571428573,139.7328571428571,137.7870242,133.6367676,191.3336778,204.1431753,178.7534655,295.1638274,86.21651782,202.3171654,219.812337,291.0739676,72.22164056,60.55362042
2010-08-09,-0.10500000000000001,176.30142857142854,137.7870242,133.6367676,191.3336778,204.1431753,178.7534655,295.1638274,86.21651782,202.3171654,219.812337,291.0739676,72.22164056,60.55362042
2010-08-16,,141.0257142857143,137.7870242,133.6367676,191.3336778,204.1431753,178.7534655,295.1638274,86.21651782,202.3171654,219.812337,291.0739676,72.22164056,60.55362042
2010-08-23,,165.09285714285716,137.7870242,133.6367676,191.3336778,204.1431753,178.7534655,295.1638274,86.21651782,202.3171654,219.812337,291.0739676,72.22164056,60.55362042
2010-08-30,-0.074,206.49142857142857,137.7870242,133.6367676,191.3336778,204.1431753,178.7534655,295.1638274,86.21651782,202.3171654,219.812337,291.0739676,72.22164056,60.55362042
2010-09-06,-0.14142857142857143,251.4385714285715,180.5002563,108.2014296,258.3348742,286.131206,224.1962839,345.2139396,111.0769715,208.2054256,250.9567881,385.3526956,60.64933385,186.4533669
2010-09-13,,202.96142857142854,180.5002563,108.2014296,258.3348742,286.131206,224.1962839,345.2139396,111.0769715,208.2054256,250.9567881,385.3526956,60.64933385,186.4533669
2010-09-20,,205.7057142857143,180.5002563,108.2014296,258.3348742,286.131206,224.1962839,345.2139396,111.0769715,208.2054256,250.9567881,385.3526956,60.64933385,186.4533669
2010-09-27,-0.043333333333333335,205.50142857142856,180.5002563,108.2014296,258.3348742,286.131206,224.1962839,345.2139396,111.0769715,208.2054256,250.9567881,385.3526956,60.64933385,186.4533669
2010-10-04,-0.1457142857142857,200.7042857142857,199.7295515,109.0729368,332.493007,364.7856952,379.5367962,568.7115454,159.1747305,402.636646,384.3900328,332.2305983,119.9032375,166.4720955
2010-10-11,-0.105,246.25000000000003,199.7295515,109.0729368,332.493007,364.7856952,379.5367962,568.7115454,159.1747305,402.636646,384.3900328,332.2305983,119.9032375,166.4720955
2010-10-18,,225.94285714285712,199.7295515,109.0729368,332.493007,364.7856952,379.5367962,568.7115454,159.1747305,402.636646,384.3900328,332.2305983,119.9032375,166.4720955
2010-10-25,,251.67857142857142,199.7295515,109.0729368,332.493007,364.7856952,379.5367962,568.7115454,159.1747305,402.636646,384.3900328,332.2305983,119.9032375,166.4720955
2010-11-01,-0.12000000000000001,225.02,151.6407619,114.8108344,228.1788187,232.4811313,221.2516321,387.3712738,101.7965601,259.3240361,205.0934316,133.6507884,69.20682254,212.7615303
2010-11-08,-0.094,147.9,151.6407619,114.8108344,228.1788187,232.4811313,221.2516321,387.3712738,101.7965601,259.3240361,205.0934316,133.6507884,69.20682254,212.7615303
2010-11-15,,155.09142857142857,151.6407619,114.8108344,228.1788187,232.4811313,221.2516321,387.3712738,101.7965601,259.3240361,205.0934316,133.6507884,69.20682254,212.7615303
2010-11-22,,145.7642857142857,151.6407619,114.8108344,228.1788187,232.4811313,221.2516321,387.3712738,101.7965601,259.3240361,205.0934316,133.6507884,69.20682254,212.7615303
2010-11-29,-0.098,173.20285714285714,151.6407619,114.8108344,228.1788187,232.4811313,221.2516321,387.3712738,101.7965601,259.3240361,205.0934316,133.6507884,69.20682254,212.7615303
2010-12-06,-0.12857142857142856,169.56571428571425,137.5047147,77.00285044,206.7215544,223.6409905,166.7119707,193.9704392,58.91694016,303.8157878,182.102882,160.5444963,77.95711045,207.2756008
2010-12-13,,174.03142857142856,137.5047147,77.00285044,206.7215544,223.6409905,166.7119707,193.9704392,58.91694016,303.8157878,182.102882,160.5444963,77.95711045,207.2756008
2010-12-20,,131.97857142857146,137.5047147,77.00285044,206.7215544,223.6409905,166.7119707,193.9704392,58.91694016,303.8157878,182.102882,160.5444963,77.95711045,207.2756008
2010-12-27,0.005,186.03857142857143,137.5047147,77.00285044,206.7215544,223.6409905,166.7119707,193.9704392,58.91694016,303.8157878,182.102882,160.5444963,77.95711045,207.2756008
2011-01-03,-0.19999999999999998,143.78285714285715,119.630979,44.67372723,166.6075222,171.7934535,151.513564,266.7065358,63.84764677,192.317429,180.4621919,188.6104867,86.634818,114.1457845
2011-01-10,-0.21999999999999997,123.29142857142858,119.630979,44.67372723,166.6075222,171.7934535,151.513564,266.7065358,63.84764677,192.317429,180.4621919,188.6104867,86.634818,114.1457845
2011-01-17,,129.3114285714286,119.630979,44.67372723,166.6075222,171.7934535,151.513564,266.7065358,63.84764677,192.317429,180.4621919,188.6104867,86.634818,114.1457845
2011-01-24,,123.1,119.630979,44.67372723,166.6075222,171.7934535,151.513564,266.7065358,63.84764677,192.317429,180.4621919,188.6104867,86.634818,114.1457845
2011-01-31,-0.06166666666666667,115.81714285714285,119.630979,44.67372723,166.6075222,171.7934535,151.513564,266.7065358,63.84764677,192.317429,180.4621919,188.6104867,86.634818,114.1457845
2011-02-07,-0.275,111.70571428571428,99.31581681,41.62163016,118.0621849,116.6468513,105.651541,205.3416296,69.26119702,138.7639402,151.9175808,112.070558,31.93158479,26.1778154
2011-02-14,,120.33000000000001,99.31581681,41.62163016,118.0621849,116.6468513,105.651541,205.3416296,69.26119702,138.7639402,151.9175808,112.070558,31.93158479,26.1778154
2011-02-21,,129.76285714285714,99.31581681,41.62163016,118.0621849,116.6468513,105.651541,205.3416296,69.26119702,138.7639402,151.9175808,112.070558,31.93158479,26.1778154
2011-02-28,-0.06166666666666667,119.80285714285716,99.31581681,41.62163016,118.0621849,116.6468513,105.651541,205.3416296,69.26119702,138.7639402,151.9175808,112.070558,31.93158479,26.1778154
2011-03-07,-0.28,142.6542857142857,120.9315332,70.49472001,134.3887436,131.9064358,151.0795672,213.0344898,76.14258382,121.2165147,202.995282,179.9444837,64.00142456,121.527402
2011-03-14,,165.7757142857143,120.9315332,70.49472001,134.3887436,131.9064358,151.0795672,213.0344898,76.14258382,121.2165147,202.995282,179.9444837,64.00142456,121.527402
2011-03-21,,130.3942857142857,120.9315332,70.49472001,134.3887436,131.9064358,151.0795672,213.0344898,76.14258382,121.2165147,202.995282,179.9444837,64.00142456,121.527402
2011-03-28,-0.006666666666666665,144.59142857142857,120.9315332,70.49472001,134.3887436,131.9064358,151.0795672,213.0344898,76.14258382,121.2165147,202.995282,179.9444837,64.00142456,121.527402
2011-04-04,-0.23714285714285716,111.16857142857144,99.55070087,62.22722475,138.7366949,126.6683896,186.3950109,185.1527651,67.54269845,150.9414094,133.949979,230.3804575,27.71504977,73.03197886
2011-04-11,-0.195,124.39285714285712,99.55070087,62.22722475,138.7366949,126.6683896,186.3950109,185.1527651,67.54269845,150.9414094,133.949979,230.3804575,27.71504977,73.03197886
2011-04-18,,121.27142857142857,99.55070087,62.22722475,138.7366949,126.6683896,186.3950109,185.1527651,67.54269845,150.9414094,133.949979,230.3804575,27.71504977,73.03197886
2011-04-25,0.05,88.50142857142858,99.55070087,62.22722475,138.7366949,126.6683896,186.3950109,185.1527651,67.54269845,150.9414094,133.949979,230.3804575,27.71504977,73.03197886
2011-05-02,-0.17142857142857143,108.85285714285715,80.95620872,55.08151473,109.3923868,98.92414627,128.5676431,145.1040479,67.19454021,111.8374173,93.66033689,87.76398381,27.71504977,103.4619701
2011-05-09,-0.24000000000000002,89.39857142857143,80.95620872,55.08151473,109.3923868,98.92414627,128.5676431,145.1040479,67.19454021,111.8374173,93.66033689,87.76398381,27.71504977,103.4619701
2011-05-16,,95.37285714285714,80.95620872,55.08151473,109.3923868,98.92414627,128.5676431,145.1040479,67.19454021,111.8374173,93.66033689,87.76398381,27.71504977,103.4619701
2011-05-23,,87.64,80.95620872,55.08151473,109.3923868,98.92414627,128.5676431,145.1040479,67.19454021,111.8374173,93.66033689,87.76398381,27.71504977,103.4619701
2011-05-30,-0.044000000000000004,113.1942857142857,80.95620872,55.08151473,109.3923868,98.92414627,128.5676431,145.1040479,67.19454021,111.8374173,93.66033689,87.76398381,27.71504977,103.4619701
2011-06-06,-0.2742857142857143,115.86857142857146,108.1815295,91.96403892,138.4162359,135.2278194,163.9749684,182.9352228,54.13460257,144.6106637,157.2190898,149.8325786,118.5493133,217.3938727
2011-06-13,,136.6342857142857,108.1815295,91.96403892,138.4162359,135.2278194,163.9749684,182.9352228,54.13460257,144.6106637,157.2190898,149.8325786,118.5493133,217.3938727
2011-06-20,,123.06428571428572,108.1815295,91.96403892,138.4162359,135.2278194,163.9749684,182.9352228,54.13460257,144.6106637,157.2190898,149.8325786,118.5493133,217.3938727
2011-06-27,-0.013333333333333336,111.98571428571428,108.1815295,91.96403892,138.4162359,135.2278194,163.9749684,182.9352228,54.13460257,144.6106637,157.2190898,149.8325786,118.5493133,217.3938727
2011-07-04,-0.24714285714285714,152.3942857142857,171.1993248,160.6455721,285.8952805,249.6674289,563.7198744,343.9058465,68.37895099,420.2481469,213.6142215,260.2498906,74.26638734,429.7714389
2011-07-11,-0.21000000000000002,181.55428571428573,171.1993248,160.6455721,285.8952805,249.6674289,563.7198744,343.9058465,68.37895099,420.2481469,213.6142215,260.2498906,74.26638734,429.7714389
2011-07-18,,190.71,171.1993248,160.6455721,285.8952805,249.6674289,563.7198744,343.9058465,68.37895099,420.2481469,213.6142215,260.2498906,74.26638734,429.7714389
2011-07-25,,317.1457142857143,171.1993248,160.6455721,285.8952805,249.6674289,563.7198744,343.9058465,68.37895099,420.2481469,213.6142215,260.2498906,74.26638734,429.7714389
2011-08-01,-0.11,305.49285714285713,215.1243049,231.1489688,322.0823056,261.1338754,635.271777,398.3092802,107.6064489,399.8623553,215.992421,224.1302931,66.37082431,1039.343329
2011-08-08,-0.29,332.4942857142857,215.1243049,231.1489688,322.0823056,261.1338754,635.271777,398.3092802,107.6064489,399.8623553,215.992421,224.1302931,66.37082431,1039.343329
2011-08-15,,228.46857142857144,215.1243049,231.1489688,322.0823056,261.1338754,635.271777,398.3092802,107.6064489,399.8623553,215.992421,224.1302931,66.37082431,1039.343329
2011-08-22,,189.79142857142855,215.1243049,231.1489688,322.0823056,261.1338754,635.271777,398.3092802,107.6064489,399.8623553,215.992421,224.1302931,66.37082431,1039.343329
2011-08-29,-0.05,257.05857142857144,215.1243049,231.1489688,322.0823056,261.1338754,635.271777,398.3092802,107.6064489,399.8623553,215.992421,224.1302931,66.37082431,1039.343329
2011-09-05,-0.25142857142857145,237.00142857142856,189.7194377,122.6990252,276.2620443,272.992592,375.8290052,364.7379113,102.4329045,303.8583777,292.3345189,160.2588858,178.5875636,411.7718664
2011-09-12,-0.28,230.28142857142853,189.7194377,122.6990252,276.2620443,272.992592,375.8290052,364.7379113,102.4329045,303.8583777,292.3345189,160.2588858,178.5875636,411.7718664
2011-09-19,,173.76000000000002,189.7194377,122.6990252,276.2620443,272.992592,375.8290052,364.7379113,102.4329045,303.8583777,292.3345189,160.2588858,178.5875636,411.7718664
2011-09-26,0.01,157.31571428571428,189.7194377,122.6990252,276.2620443,272.992592,375.8290052,364.7379113,102.4329045,303.8583777,292.3345189,160.2588858,178.5875636,411.7718664
2011-10-03,-0.22285714285714286,145.20428571428573,117.9021636,75.55926705,130.4084038,133.008284,118.5466889,157.6535327,62.81475791,122.4959707,228.7467324,473.0741562,113.8227949,609.3500076
2011-10-10,-0.25,171.6585714285714,117.9021636,75.55926705,130.4084038,133.008284,118.5466889,157.6535327,62.81475791,122.4959707,228.7467324,473.0741562,113.8227949,609.3500076
2011-10-17,,118.60571428571428,117.9021636,75.55926705,130.4084038,133.008284,118.5466889,157.6535327,62.81475791,122.4959707,228.7467324,473.0741562,113.8227949,609.3500076
2011-10-24,,103.83142857142856,117.9021636,75.55926705,130.4084038,133.008284,118.5466889,157.6535327,62.81475791,122.4959707,228.7467324,473.0741562,113.8227949,609.3500076
2011-10-31,-0.09166666666666666,104.78142857142856,117.9021636,75.55926705,130.4084038,133.008284,118.5466889,157.6535327,62.81475791,122.4959707,228.7467324,473.0741562,113.8227949,609.3500076
2011-11-07,-0.2916666666666667,138.37,114.7872495,78.17902266,149.9675699,144.5434574,171.4033754,194.1333288,80.17232918,223.2837947,137.9363582,165.7486095,43.317409,615.1189497
