series,n_obs,adf_statistic,p_value,critical_1%,critical_5%,critical_10%,stationary,trend_exists,crop,session,state,variable,category
corn_planting_KS_AWND,468,-3.306413909447942,0.014594195614655038,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,KS,AWND,Corn Planting
corn_planting_KY_TMAX,468,-4.8652525070049855,4.073255432286817e-05,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,KY,TMAX,Corn Planting
corn_planting_KY_TMIN,468,-3.956540778417254,0.0016559766496666787,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,KY,TMIN,Corn Planting
corn_planting_KY_AWND,468,-2.9044639889877653,0.0448313534176184,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,KY,AWND,Corn Planting
corn_planting_LA_TMAX,468,-3.719134356673948,0.0038519220587210743,-3.444900499925237,-2.8679556266351653,-2.570187288941969,Yes,No,corn,planting,LA,TMAX,Corn Planting
corn_planting_LA_TMIN,468,-3.5232757362876046,0.0074090625203375605,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,LA,TMIN,Corn Planting
corn_planting_LA_AWND,468,-3.82968584311146,0.0026177824289422263,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,LA,AWND,Corn Planting
corn_planting_MA_TMAX,468,-4.062799820113817,0.0011151174177336605,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MA,TMAX,Corn Planting
corn_planting_MA_TMIN,468,-3.4161071677329193,0.010421882459779212,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,MA,TMIN,Corn Planting
corn_planting_MA_AWND,468,-2.5990833885742455,0.09318686040510671,-3.444900499925237,-2.8679556266351653,-2.570187288941969,No,Yes,corn,planting,MA,AWND,Corn Planting
corn_planting_MD_TMAX,468,-4.845029105497244,4.456607752162554e-05,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,MD,TMAX,Corn Planting
corn_planting_MD_TMIN,468,-3.564000122419491,0.006487760752407971,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MD,TMIN,Corn Planting
corn_planting_MD_AWND,468,-3.644630305514378,0.0049629305715198635,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MD,AWND,Corn Planting
corn_planting_ME_TMAX,468,-4.427193967312668,0.00026561127292314975,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,ME,TMAX,Corn Planting
corn_planting_ME_TMIN,468,-3.870210022062808,0.002265358219345251,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,ME,TMIN,Corn Planting
corn_planting_ME_AWND,468,-2.712074016841445,0.07197213950593816,-3.444868194858831,-2.867941416548597,-2.5701797149735146,No,Yes,corn,planting,ME,AWND,Corn Planting
corn_planting_MI_TMAX,468,-3.8773439085761554,0.0022080568739675055,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MI,TMAX,Corn Planting
corn_planting_MI_TMIN,468,-3.5528675341227207,0.006728729256659351,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MI,TMIN,Corn Planting
corn_planting_MI_AWND,468,-3.2649462400109144,0.016519962184105792,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,MI,AWND,Corn Planting
corn_planting_MN_TMAX,468,-4.833144778825775,4.69781302250376e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,MN,TMAX,Corn Planting
corn_planting_MN_TMIN,468,-4.982051901748037,2.408176159747259e-05,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,MN,TMIN,Corn Planting
corn_planting_MN_AWND,468,-2.91118054772945,0.04406321428989288,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,MN,AWND,Corn Planting
corn_planting_MO_TMAX,468,-4.260338904434061,0.0005199571200345195,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MO,TMAX,Corn Planting
corn_planting_MO_TMIN,468,-4.731237056335942,7.348846644756411e-05,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,MO,TMIN,Corn Planting
corn_planting_MO_AWND,468,-2.715315880717335,0.07142524395226486,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,No,Yes,corn,planting,MO,AWND,Corn Planting
corn_planting_MS_TMAX,468,-3.745922790100126,0.0035116683910744744,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MS,TMAX,Corn Planting
corn_planting_MS_TMIN,468,-3.8497698567001843,0.00243723904390927,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,MS,TMIN,Corn Planting
corn_planting_MS_AWND,468,-5.7221371707999324,6.90221065635289e-07,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,MS,AWND,Corn Planting
corn_planting_MT_TMAX,468,-4.494118881381539,0.0002015078282595437,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,MT,TMAX,Corn Planting
corn_planting_MT_TMIN,468,-4.257342370935899,0.0005261491586889294,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,MT,TMIN,Corn Planting
corn_planting_MT_AWND,468,-9.889618541994292,3.586828114617982e-17,-3.4444914328761977,-2.8677756786103683,-2.570091378194011,Yes,No,corn,planting,MT,AWND,Corn Planting
corn_planting_NC_TMAX,468,-5.139885361846737,1.1648456467448529e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,NC,TMAX,Corn Planting
corn_planting_NC_TMIN,468,-3.728354226389832,0.0037315494635825606,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,NC,TMIN,Corn Planting
corn_planting_NC_AWND,468,-2.4068590020114877,0.13980985725223888,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,No,Yes,corn,planting,NC,AWND,Corn Planting
corn_planting_ND_TMAX,468,-5.3306332877302705,4.72981886178882e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,ND,TMAX,Corn Planting
corn_planting_ND_TMIN,468,-5.362858713951568,4.0518490378019825e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,ND,TMIN,Corn Planting
corn_planting_ND_AWND,468,-8.213817492677727,6.707204748494839e-13,-3.44455286264131,-2.8678027030003483,-2.5701057817594894,Yes,No,corn,planting,ND,AWND,Corn Planting
corn_planting_NE_TMAX,468,-4.072667567013761,0.0010743320302571643,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,NE,TMAX,Corn Planting
corn_planting_NE_TMIN,468,-5.316241514856599,5.067041479778169e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,NE,TMIN,Corn Planting
corn_planting_NE_AWND,468,-6.183106511903429,6.384234505706542e-08,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,NE,AWND,Corn Planting
corn_planting_NH_TMAX,468,-3.9847918670459497,0.0014922728609722436,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,NH,TMAX,Corn Planting
corn_planting_NH_TMIN,468,-2.920189439195019,0.04305010962824134,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,NH,TMIN,Corn Planting
corn_planting_NH_AWND,468,-2.8123346056463165,0.05653334394713547,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,No,Yes,corn,planting,NH,AWND,Corn Planting
corn_planting_NJ_TMAX,468,-5.24102851623053,7.245621850834395e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,NJ,TMAX,Corn Planting
corn_planting_NJ_TMIN,468,-3.221456509357981,0.018775804908208567,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,NJ,TMIN,Corn Planting
corn_planting_NJ_AWND,468,-2.1078590587491517,0.24136620015625848,-3.444900499925237,-2.8679556266351653,-2.570187288941969,No,Yes,corn,planting,NJ,AWND,Corn Planting
corn_planting_NM_TMAX,468,-5.327990748240136,4.7900598360498e-06,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,NM,TMAX,Corn Planting
corn_planting_NM_TMIN,468,-4.621875620094771,0.0001176940492429527,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,NM,TMIN,Corn Planting
corn_planting_NM_AWND,468,-5.050462284331398,1.7617397879028712e-05,-3.4445220811896657,-2.8677891615873192,-2.5700985643950656,Yes,No,corn,planting,NM,AWND,Corn Planting
corn_planting_NV_TMAX,468,-5.060685686533701,1.6808440575874075e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,NV,TMAX,Corn Planting
corn_planting_NV_TMIN,468,-4.8451321863614,4.454568603410131e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,NV,TMIN,Corn Planting
corn_planting_NV_AWND,468,-2.425570167808293,0.13464908221406097,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,No,Yes,corn,planting,NV,AWND,Corn Planting
corn_planting_NY_TMAX,468,-4.236799618703361,0.0005705074445221291,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,NY,TMAX,Corn Planting
corn_planting_NY_TMIN,468,-3.587423690171822,0.006006061894074879,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,NY,TMIN,Corn Planting
corn_planting_NY_AWND,468,-2.55275763100169,0.1031595950843554,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,No,Yes,corn,planting,NY,AWND,Corn Planting
corn_planting_OH_TMAX,468,-4.470291755821203,0.0002224278941092254,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,OH,TMAX,Corn Planting
corn_planting_OH_TMIN,468,-3.9903152099731116,0.0014620813664160716,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,OH,TMIN,Corn Planting
corn_planting_OH_AWND,468,-3.5240714199545433,0.007389986449243655,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,OH,AWND,Corn Planting
corn_planting_OK_TMAX,468,-5.657396259001828,9.551137197849337e-07,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,OK,TMAX,Corn Planting
corn_planting_OK_TMIN,468,-4.427634855258862,0.00026513173472558966,-3.444900499925237,-2.8679556266351653,-2.570187288941969,Yes,No,corn,planting,OK,TMIN,Corn Planting
corn_planting_OK_AWND,468,-11.121038145565858,3.465494385538841e-20,-3.4444609168389615,-2.8677622536920317,-2.5700842229549266,Yes,No,corn,planting,OK,AWND,Corn Planting
corn_planting_OR_TMAX,468,-5.237815203587028,7.356546632456613e-06,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,OR,TMAX,Corn Planting
corn_planting_OR_TMIN,468,-3.2522484816717694,0.017152652225422775,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,OR,TMIN,Corn Planting
corn_planting_OR_AWND,468,-7.1614328932051246,2.9610832549084516e-10,-3.44455286264131,-2.8678027030003483,-2.5701057817594894,Yes,No,corn,planting,OR,AWND,Corn Planting
corn_planting_PA_TMAX,468,-4.730328053385361,7.377963321508358e-05,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,PA,TMAX,Corn Planting
corn_planting_PA_TMIN,468,-3.8371451627656046,0.002549334382511327,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,PA,TMIN,Corn Planting
corn_planting_PA_AWND,468,-2.5736746069428444,0.09856116467621961,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,No,Yes,corn,planting,PA,AWND,Corn Planting
corn_planting_RI_TMAX,468,-4.620826024088805,0.00011822166965205819,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,RI,TMAX,Corn Planting
corn_planting_RI_TMIN,468,-3.487796429858027,0.008306094952800741,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,RI,TMIN,Corn Planting
corn_planting_RI_AWND,468,-3.1047538667957726,0.026203375497494148,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,RI,AWND,Corn Planting
corn_planting_SC_TMAX,468,-5.569210198671526,1.4806168885932976e-06,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,SC,TMAX,Corn Planting
corn_planting_SC_TMIN,468,-4.111618790829542,0.0009265704249851336,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,SC,TMIN,Corn Planting
corn_planting_SC_AWND,468,-2.9292258149104002,0.04205346232742695,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,SC,AWND,Corn Planting
corn_planting_SD_TMAX,468,-4.924127465979974,3.1292936351046976e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,SD,TMAX,Corn Planting
corn_planting_SD_TMIN,468,-5.349188877617751,4.327051910209561e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,SD,TMIN,Corn Planting
corn_planting_SD_AWND,468,-18.731678097113722,2.0307127578153766e-30,-3.4444305322234365,-2.8677488864580885,-2.5700770984781443,Yes,No,corn,planting,SD,AWND,Corn Planting
corn_planting_TN_TMAX,468,-4.673488201232303,9.435143300121094e-05,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,TN,TMAX,Corn Planting
corn_planting_TN_TMIN,468,-4.233364748778039,0.0005782597283361691,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,TN,TMIN,Corn Planting
corn_planting_TN_AWND,468,-4.233513390362268,0.0005779222102902421,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,TN,AWND,Corn Planting
corn_planting_TX_TMAX,468,-5.365200903925282,4.006434074486581e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,TX,TMAX,Corn Planting
corn_planting_TX_TMIN,468,-3.4899160899352606,0.008249878514844457,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,TX,TMIN,Corn Planting
corn_planting_TX_AWND,468,-10.416573056302248,1.7481414439088713e-18,-3.4444609168389615,-2.8677622536920317,-2.5700842229549266,Yes,No,corn,planting,TX,AWND,Corn Planting
corn_planting_UT_TMAX,468,-3.642691206984566,0.004995399658659657,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,UT,TMAX,Corn Planting
corn_planting_UT_TMIN,468,-3.5638626413268364,0.006490688346522183,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,UT,TMIN,Corn Planting
corn_planting_UT_AWND,468,-2.680432547785239,0.0774859292285565,-3.444868194858831,-2.867941416548597,-2.5701797149735146,No,Yes,corn,planting,UT,AWND,Corn Planting
corn_planting_VA_TMAX,468,-4.411119713967558,0.00028366734948328637,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,VA,TMAX,Corn Planting
corn_planting_VA_TMIN,468,-3.671032493898612,0.004539557679052078,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,VA,TMIN,Corn Planting
corn_planting_VA_AWND,468,-2.953244095565523,0.03949756599765164,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,VA,AWND,Corn Planting
corn_planting_VT_TMAX,468,-4.002070631273874,0.0013997075462867045,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,VT,TMAX,Corn Planting
corn_planting_VT_TMIN,468,-3.187570672377422,0.020715504761474216,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,VT,TMIN,Corn Planting
corn_planting_VT_AWND,468,-2.3554923071813736,0.15469426106279527,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,No,Yes,corn,planting,VT,AWND,Corn Planting
corn_planting_WA_TMAX,468,-4.286901630925021,0.0004679935317322835,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,WA,TMAX,Corn Planting
corn_planting_WA_TMIN,468,-3.5226057041432064,0.007425160579521232,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,WA,TMIN,Corn Planting
corn_planting_WA_AWND,468,-5.4197871499630255,3.0776989726124195e-06,-3.444583778100581,-2.8678163032301995,-2.570113030490433,Yes,No,corn,planting,WA,AWND,Corn Planting
corn_planting_WI_TMAX,468,-3.87396401413405,0.002235035926763084,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,WI,TMAX,Corn Planting
corn_planting_WI_TMIN,468,-3.5718782163618767,0.006321982695210259,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,WI,TMIN,Corn Planting
corn_planting_WI_AWND,468,-3.0866347206156863,0.027558220209925127,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,WI,AWND,Corn Planting
corn_planting_WV_TMAX,468,-4.768319038387827,6.250576772747439e-05,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,WV,TMAX,Corn Planting
corn_planting_WV_TMIN,468,-4.02701151802981,0.0012754916327857289,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,WV,TMIN,Corn Planting
corn_planting_WV_AWND,468,-4.229092542303697,0.0005880402661370677,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,WV,AWND,Corn Planting
corn_planting_WY_TMAX,468,-5.610359960459999,1.2074240302854548e-06,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,WY,TMAX,Corn Planting
